-1.7798622,53.8320796,"ATM : 1038799938"
-1.7864924,53.5696873,"Barclays"
-1.7867959,53.5699623,"Lloyds Bank"
-1.6275316,53.6919617,"Barclays Bank PLC"
-1.7327389,53.771994,"ATM : 1182516742"
-2.0118248,53.7412901,"LloydsTSB"
-1.8808393,53.7152787,"Barclays Bank PLC"
-1.8751868,53.7269142,"ATM : 1237150529"
-1.8580209,53.7247837,"ATM : 1247631801"
-1.6605145,53.8073998,"ATM : 1251743160"
-1.5553509,53.8031829,"Barclays Bank PLC"
-1.5521156,53.7917137,"ATM : 1323671073"
-1.6705776,53.7034299,"ATM : 1340360113"
-1.784424,53.5724115,"The Co-operative Bank"
-2.0969961,53.7136066,"Halifax"
-2.0972267,53.7135892,"TSB"
-2.101069,53.710754,"ATM : 1414423006"
-2.097202,53.714039,"ATM : 1414424652"
-2.1076021,53.6075182,"ATM : 1415388107"
-2.1102535,53.6098832,"ATM : 1415388128"
-1.5082044,53.8442838,"Link"
-1.5580053,53.8475809,"Post Office"
-1.5352331,53.8478176,"Link; Visa; Cirrus"
-2.1037049,53.5533044,"ATM : 1555866943"
-2.0906479,53.5466752,"Yorkshire Bank"
-2.0903636,53.5457604,"ATM : 1555888885"
-1.5385023,53.7975353,"ATM : 1562986889"
-1.5671157,53.8283634,"ATM : 1619094065"
-1.5166988,53.8446358,"ATM : 1626440972"
-1.5094248,53.8442149,"Link"
-1.5099321,53.844358,"ATM : 1626511298"
-1.5334168,53.8424313,"Link"
-1.4630307,53.7015283,"Link"
-1.843641,53.6569539,"ATM : 1640283320"
-1.6021803,53.8134854,"HSBC"
-1.3679874,53.7661249,"Coop"
-1.3700634,53.7666575,"Barclays Bank PLC"
-1.7012612,53.6091859,"HSBC"
-1.8364618,53.8472911,"Co-operative Bank"
-1.9271911,53.6011384,"The Co-operative Bank"
-1.7028805,53.6103183,"ATM : 1704973341"
-2.1667672,53.859693,"ATM : 1708403134"
-1.7877411,53.5702511,"Santander"
-2.1687926,53.8569346,"ATM : 1716262716"
-2.1685619,53.856944,"ATM : 1716262811"
-2.1691145,53.8569725,"ATM : 1716262944"
-1.794555,53.6315342,"ATM : 1718406486"
-1.5254567,53.5430923,"ATM : 1730921607"
-1.8882749,53.7250925,"Barclays Bank PLC"
-1.5511184,53.8073053,"ATM : 1793790050"
-1.5515631,53.8075652,"ATM : 1793790912"
-1.5515912,53.8075805,"ATM : 1793790913"
-1.5790884,53.6566554,"ATM : 1843118028"
-1.482604,53.5500267,"ATM : 1843407024"
-1.8417536,53.7680872,"ATM : 1874190022"
-1.694482,53.9056907,"Halifax Building Society"
-1.8095172,53.6377409,"Coop Bank"
-1.5869672,53.8072356,"ATM : 1919062502"
-1.3462465,53.9048527,"HSBC"
-1.6331322,53.846688,"ATM : 1938631973"
-2.1205522,53.6374804,"CoOp"
-1.5342945,53.8126686,"HSBC"
-1.7414933,53.6781522,"ATM : 1980759399"
-1.5054587,53.82698,"ATM : 2009074940"
-1.7263936,53.8794542,"Yorkshire Bank"
-1.7409392,53.8893209,"Co-operative Bank"
-1.7779081,53.6630253,"ATM : 2063891828"
-1.5628409,53.7643989,"ATM : 2072972468"
-2.1353779,53.6126218,"ATM : 2116628067"
-1.529241,53.778987,"Halifax"
-1.5291605,53.7789806,"Morrisons"
-1.8558646,53.6262053,"ATM : 2127369008"
-1.5476732,53.7912324,"ATM : 2135010948"
-1.5481854,53.7916523,"ATM : 2135014985"
-1.5626016,53.8561811,"ATM : 2148948484"
-1.4994285,53.6845174,"ATM : 2149405513"
-1.5316233,53.9576567,"ATM : 2153021841"
-1.6509553,53.7013119,"Halifax"
-1.4815398,53.5526198,"Yorkshire Bank"
